guid,text_a,text_b,theme1,theme2,theme3
20293,Fünft Tote bei Amoklauf in USA - Mitarbeiter verhindern Tragödie an Grundschule,a,5,,
16808,Schule in Florida starben 17 Menschen bei einem Amoklauf. Danach gingen Tausende in den USA auf die Straßen und demonstrierten für schärfere Waffengesetze. Stattdessen bekamen sie durchsichtige Schulrucksäcke.,a,5,7,2
26230,Trump will auch nach Texas nicht am Waffenrecht rütteln. Trump sagte in ...,a,3,1,
14231,Neue Schulausstände gegen Waffengewalt in den USA,a,5,7,
14184,Trump rückt von Forderung nach schärferem Waffenrecht ab: RHEINPFALZ.de,a,3,2,
10300,Nach Amoklauf an Schule: Trump nimmt Videospiele ins Visier,a,3,,
13129,Donald Trump: Waffenrecht in den USA soll verschärft werden Donald Trump: Waffenrecht in den USA soll verschärft werden,a,3,2,
24472,UPDATE Texas-Attentäter konnte trotz Vorstrafe Waffen kaufen Sutherland Springs Das Massaker in einer texanischen Kirche mit 26 Toten hat in den USA die Debatte um schärfere Waffengesetze neu belebt. Doch dass der 26-jährige…,a,2,,
41525,"Massenschießerei, 50 Tote nach Attentat in USA – Schütze war IS-Unterstützer",a,6,,
38935,USA | Waffengesetze in den USA: Obama macht ernst - Schärfere Waffengesetze für die USA,a,3,2,
38114,Spike Lee warnt vor Waffengewalt in den USA - Video - Berliner Morgenpost,a,8,,
12410,Hunderttausende protestieren in den USA gegen Waffengewalt - Panorama - HARZ KURIER,a,7,,
15800,Washington Beugt sich Trump dem Schüler-Protest? Streit um US-Waffengesetze spitzt sich nach dem Schul-Massaker in Florida weiter zu  mehr,a,3,7,
13258,23:55 Newsticker Schüler in den USA demonstrieren für schärferes Waffenrecht,a,7,2,
38157,USA : US-Kongress diskutiert über Waffengesetze| Politik - Frankfurter Rundschau,a,3,2,
7742,"Hunderttausende demonstrieren für neue Waffengesetze - Die USA haben genug: ""Wenn unsere Führer sich wie Kinder verhalten, müssen Kinder führen""",a,7,,
15854,Politik Schüler in den USA demonstrieren für schärferes Waffenrecht,a,7,2,
22436,"Wenn es nach Trump ginge, wäre nie die Zeit für schärfere Waffengesetze | Inforadio - Besser informiert.",a,3,2,
16109,Schüler in den USA demonstrieren für schärferes Waffenrecht - Bergedorfer Zeitung,a,7,2,
13460,Schusswaffen in den USA: Floridas Parlament stimmt gegen schärferes Waffengesetz,a,3,2,
7353,Foto: Kevin M. Cox/The Galveston County Daily News via AP 186 Postings Texas Acht Tote bei neuerlichem Amoklauf in US-Schule Sch&#252;ler als mutma&#223;licher T&#228;ter – Trump: Absolut schreckliche Tat,a,5,3,
8904,Trump denkt nun doch übers Waffengesetz nach,a,3,2,
