guid,German,English,1st_theme,2nd_theme
20293,Fünft Tote bei Amoklauf in USA - Mitarbeiter verhindern Tragödie an Grundschule,Fifth killed in rampage in the US - employees prevent tragedy at elementary school,5,
16808,Schule in Florida starben 17 Menschen bei einem Amoklauf. Danach gingen Tausende in den USA auf die Straßen und demonstrierten für schärfere Waffengesetze. Stattdessen bekamen sie durchsichtige Schulrucksäcke.,"School in Florida killed 17 people in a rampage. Thousands of people then took to the streets in the US demonstrating stricter gun laws. Instead, they got transparent school backpacks.",5,7
26230,Trump will auch nach Texas nicht am Waffenrecht rütteln. Trump sagte in ...,Trump also does not want to shake the gun right to Texas. Trump said in ...,3,1
14231,Neue Schulausstände gegen Waffengewalt in den USA,New school stands against gun violence in the US,5,7
14184,Trump rückt von Forderung nach schärferem Waffenrecht ab: RHEINPFALZ.de,Trump moves away from demand for stricter weapon law: RHEINPFALZ.de,3,2
10300,Nach Amoklauf an Schule: Trump nimmt Videospiele ins Visier,After killing school: Trump targets video games,3,
13129,Donald Trump: Waffenrecht in den USA soll verschärft werden Donald Trump: Waffenrecht in den USA soll verschärft werden,Donald Trump: Weapons law in the US to be tightened Donald Trump: Weapons law in the US will be tightened,3,2
24472,UPDATE Texas-Attentäter konnte trotz Vorstrafe Waffen kaufen Sutherland Springs Das Massaker in einer texanischen Kirche mit 26 Toten hat in den USA die Debatte um schärfere Waffengesetze neu belebt. Doch dass der 26-jährige…,UPDATE Texas Assassin Could Buy Gun Despite Detention Sutherland Springs The massacre in a 26-member Texas church has revived the debate over stricter gun laws in the US. But that the 26-year-old ...,2,
41525,"Massenschießerei, 50 Tote nach Attentat in USA – Schütze war IS-Unterstützer","Mass shooting, 50 dead after assassination in the USA - Sagittarius was an IS supporter",6,
38935,USA | Waffengesetze in den USA: Obama macht ernst - Schärfere Waffengesetze für die USA,USA | Weapons laws in the US: Obama is serious - Stricter gun laws for the US,3,2
38114,Spike Lee warnt vor Waffengewalt in den USA - Video - Berliner Morgenpost,Spike Lee warns of gun violence in the US video Berliner Morgenpost,8,
12410,Hunderttausende protestieren in den USA gegen Waffengewalt - Panorama - HARZ KURIER,Hundreds of thousands protest in the US against armed violence - Panorama - HARZ KURIER,7,
15800,Washington Beugt sich Trump dem Schüler-Protest? Streit um US-Waffengesetze spitzt sich nach dem Schul-Massaker in Florida weiter zu  mehr,Washington Bends Trump to the student protest? Dispute over US gun laws is getting worse after the school massacre in Florida,3,7
13258,23:55 Newsticker Schüler in den USA demonstrieren für schärferes Waffenrecht,23:55 Newsticker students in the US demonstrate for firmer gun rights,7,2
38157,USA : US-Kongress diskutiert über Waffengesetze| Politik - Frankfurter Rundschau,US: US Congress discusses gun laws | Politics - Frankfurter Rundschau,3,2
7742,"Hunderttausende demonstrieren für neue Waffengesetze - Die USA haben genug: ""Wenn unsere Führer sich wie Kinder verhalten, müssen Kinder führen""","Hundreds of thousands demonstrate for new gun laws - The US has had enough: ""If our leaders behave like children, children must lead""",7,
15854,Politik Schüler in den USA demonstrieren für schärferes Waffenrecht,Politics Students in the US are demonstrating for stricter gun legislation,7,2
22436,"Wenn es nach Trump ginge, wäre nie die Zeit für schärfere Waffengesetze | Inforadio - Besser informiert.","If it were up to Trump, there would never be time for stricter gun laws Inforadio - Better informed.",3,2
16109,Schüler in den USA demonstrieren für schärferes Waffenrecht - Bergedorfer Zeitung,Students in the USA demonstrate for sharper weapon law - Bergedorfer Zeitung,7,2
