,guid,headline
8124,22bb24e4-c331-470c-8737-908c97b76d1b,ABD'de gece kulübüne silahlı saldırı: 1 ölü 14 yaralı
1476,be67edc6-afb6-4df9-a594-a898a545be8c,ABD'deki silahlı saldırıda bilanço çok ağırlaşıyor; 50 ölü
5925,72389f81-4b08-41a6-80eb-54c8bee7a46e,ABD’nin Pittsburgh kentinde sinagoga silahlı saldırı: 8 ölü 27 Ekim 2018
3958,5b7e5e5e-80a2-4b40-b2d8-e09a8f04de49,ABD’de öğrenciler silah yasasını protesto etti
5529,1ffe4f24-97ed-49a1-9d70-4db296d51a40,GÜNCELLEME - 2 ABD'de bir sinagoga silahlı saldırı düzenlendi
1562,7140367d-b88c-4f1c-91ec-46866967ce12,ABD: Florida saldırganı mahkemede
1009,2261a605-77a1-4291-82a5-552b4080e799,"ABD'de silahlı saldırı | Al Jazeera Turk - Ortadoğu, Kafkasya, Balkanlar, Türkiye ve çevresindeki bölgeden son dakika haberleri ve analizler"
3380,4304810c-4e3c-4133-9022-a088ea7979e7,Trump'tan silahlı saldırıyla ilgili açıklama
3340,87642c9e-c356-4712-98be-fa1817d17970,Polis Orlando saldırganının evine girdi - Amerika Haberleri
9044,31285dc0-1487-41bd-8c22-97003250506d,ABD'de alışveriş merkezinde silahlı saldırı
48,508d368f-4006-4453-9ea5-9ee293261a59,ABD'de silahlı saldırı! Çok sayıda yaralı var
4653,e1fbec44-3c4f-4786-b6ac-468aadede294,Amerika'da silahlı saldırı şoku
7339,9af3241a-668e-4ae4-90cf-8893890524ff,"SON DAKİKA: ABD'de sinagogda silahlı saldırı: 8 ölü, 6 yaralı"
3200,d130c1f1-1d97-4887-84dd-d1553aa2db8c,"Trump: Teksas saldırganının akıl sağlığı yerinde değildi, bu silah meselesi değil"
5783,5b9fedcd-913a-476f-9ff8-0ac85fc4b1af,Destici: Suudi Arabistan Trump’dan aldığı güç ve cesaretle saldırgan bir tutum sergiliyor
8706,288a7a53-5379-4eba-939e-b5bb0a5b8f5d,ABD’de okulda silahlı saldırı
4562,792d3503-6513-4ce5-9edd-ca2ead0a67a0,Trump'un golf tesislerine silahlı saldırı
9240,2c148537-836a-4c7a-8e56-0c7ddc7ff831,ABD’de öğrenciler silah yasasını protesto etti
6057,1d52dd25-800b-42c8-93a1-df549a91b0b8,ABD Büyükelçiliğine silahlı saldırı - Sonsayfa Haberler Son Dakika
8528,7c9f7e44-270f-4fe6-ae35-b348de315f14,"ABD'de silahlı saldırı: 1 polis öldü, 6 polis yaralı"
2193,42a79882-c2a0-4952-9b32-d3880d968e4e,ABD'de silahlı saldırgan paniği
9595,216b8eb0-0c49-4cdc-90c0-449320b5d4fc,"Rusya'dan ABD'ye şok: İlişkiler askıda! 19 Haziran 2017, 14:25 Rusya Dışişleri Bakan Yardımcısı Sergey Ryabkov, ABD’nin dün Suriye ordusuna ait bir uçağı vurmasını 'saldırgan bir eylem ve teröristlere yardım' olarak nitelendirirken, Rusya Savunma Bakanlığı, ABD ile Suriye hava sahasında kurulan iletişimin askıya alındığını duyurdu."
630,f56d2553-cab7-43e8-a169-a294b25f815e,"ABD’deki gazete saldırganı, muhabirleri haber nedeniyle yıllarca taciz etmiş"
1459,4667b350-53b3-4e71-9661-66d31ef9ae2f,ABD'de kampüste silahlı saldırı: 1 ölü
8767,2b758c48-af27-4867-a111-785c12e06058,"ABD""de liseye silahlı saldırı: 1 yaralı"
6382,113b286a-773c-4443-8f56-51c93b09899b,ABD'de silahlı saldırı: Ölü ve yaralılar var
4685,2b8878b0-0cbf-473b-9ca6-165a950fc916,ABD'deki havalimanında silahlı saldırı: 3 kişi hayatını kaybetti
6909,5fc83e63-eb81-4223-a0ca-c6fc63bdefa8,GÜNCELLEME - ABD'de bir sinagoga silahlı saldırı düzenlendi
3438,395d1cb1-ccc0-4c81-a21d-078fa9a21e05,Trump’tan silahlı saldırı sonrası ilk açıklama
6499,3d9f9fca-7ef4-4ce1-acac-8221a03a4a31,"ABD’de silahlı saldırı, 2 ölü, 3 yaralı"
9654,0ec4a827-5766-476c-966c-41b944fcedc4,6 Dünya ABD'de lisede silahlı saldırı
6427,02ed4e53-62af-41a7-8592-77e6ef216eca,ABD'de silahlı saldırılar can alıyor
186,3f52222d-c47a-4bac-9a25-f28c47c0f2ed,ABD Büyükelçiliğine silahlı saldırı!
2445,313ceed9-54a6-49bb-838f-08cb47ae2297,ABD'nin Kentucky eyaletinde silahlı saldırı
5954,dd88773d-4348-4426-9832-1ffad4c14477,ABD’de lisede silahlı saldırı
1275,7106a538-a59a-4353-8394-59555cd7a8ff,Trump yönetiminden 'silah kontrolü'adımı: Aparatlar yasaklandı
